id,number_of_rooms,accommodation_type,floor,cost,description,available
1,3,FLAT,2,120.00,"Spacious apartment with sea view",true
2,2,HOME,1,85.00,"Cozy home with a small garden",true
3,4,APARTMENTS,5,210.00,"Modern apartment in downtown",true
4,1,FLAT,3,95.00,"Compact flat ideal for singles",true
5,3,HOME,1,155.00,"Family home with backyard",true
6,2,APARTMENTS,4,115.00,"Stylish apartment with modern features",true
7,4,FLAT,6,225.00,"Luxury flat with panoramic views",true
8,3,HOME,1,135.00,"Charming home in a quiet area",true
9,2,APARTMENTS,3,105.00,"Affordable apartment near transport",true
10,5,FLAT,7,310.00,"Spacious flat with premium finishes",true
